timestamp,play_draw,card1,card2,card3,card4,card5,card6,card7,decision,source_file,keep,on_play
2026-04-16 09:11:19.632328,draw,Seasoned Pyromancer,"Ajani, Nacatl Pariah","Phlage, Titan of Fire's Fury",Sacred Foundry,Goblin Bombardment,Galvanic Discharge,"Ajani, Nacatl Pariah",mulligan,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,0,0
2026-04-16 09:11:29.353263,draw,Ocelot Pride,The Legend of Roku,Guide of Souls,"Phlage, Titan of Fire's Fury",Dalkovan Encampment,Ocelot Pride,Goblin Bombardment,mulligan,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,0,0
2026-04-16 09:11:47.626208,play,Arid Mesa,Arid Mesa,Goblin Bombardment,Galvanic Discharge,"Ajani, Nacatl Pariah",Guide of Souls,Guide of Souls,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:11:49.957586,play,Marsh Flats,"Ajani, Nacatl Pariah",Mountain,Arena of Glory,Marsh Flats,Dalkovan Encampment,Galvanic Discharge,mulligan,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,0,1
2026-04-16 09:11:55.956014,play,Seasoned Pyromancer,"Ajani, Nacatl Pariah",Thraben Charm,Flooded Strand,Arid Mesa,Marsh Flats,Arena of Glory,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:11:58.023502,play,Dalkovan Encampment,Voice of Victory,Guide of Souls,Goblin Bombardment,Goblin Bombardment,Arid Mesa,Arid Mesa,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:12:00.578483,play,Guide of Souls,Arena of Glory,Thraben Charm,Flooded Strand,Arid Mesa,Goblin Bombardment,Elegant Parlor,mulligan,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,0,1
2026-04-16 09:12:06.697720,play,Sacred Foundry,Thraben Charm,Flooded Strand,Ocelot Pride,Goblin Bombardment,Goblin Bombardment,Thraben Charm,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:12:10.571189,draw,Galvanic Discharge,Flooded Strand,"Phlage, Titan of Fire's Fury",Marsh Flats,"Phlage, Titan of Fire's Fury","Ajani, Nacatl Pariah",Galvanic Discharge,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,0
2026-04-16 09:12:12.746371,play,Arena of Glory,Guide of Souls,Marsh Flats,Goblin Bombardment,Goblin Bombardment,Ocelot Pride,Sacred Foundry,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:12:15.718218,draw,"Ragavan, Nimble Pilferer",Plains,"Phlage, Titan of Fire's Fury","Ajani, Nacatl Pariah",Arena of Glory,Seasoned Pyromancer,The Legend of Roku,mulligan,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,0,0
2026-04-16 09:12:18.436110,play,Ocelot Pride,Goblin Bombardment,Marsh Flats,Plains,Flooded Strand,Sacred Foundry,Seasoned Pyromancer,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:12:26.952825,play,"Phlage, Titan of Fire's Fury","Phlage, Titan of Fire's Fury",Galvanic Discharge,Arena of Glory,Blood Moon,"Ajani, Nacatl Pariah",Sacred Foundry,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:12:33.538450,draw,Ocelot Pride,Arid Mesa,"Phlage, Titan of Fire's Fury",Flooded Strand,Blood Moon,Marsh Flats,Galvanic Discharge,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,0
2026-04-16 09:12:37.486030,play,"Ragavan, Nimble Pilferer","Phlage, Titan of Fire's Fury",Arid Mesa,Dalkovan Encampment,Thraben Charm,Goblin Bombardment,"Phlage, Titan of Fire's Fury",keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
2026-04-16 09:12:41.810402,draw,Flooded Strand,Guide of Souls,Galvanic Discharge,Arid Mesa,Elegant Parlor,Arena of Glory,"Phlage, Titan of Fire's Fury",keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,0
2026-04-16 09:12:46.748846,draw,The Legend of Roku,Plains,Sacred Foundry,Arena of Glory,Ocelot Pride,"Phlage, Titan of Fire's Fury",Thraben Charm,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,0
2026-04-16 09:12:50.189691,play,"Ragavan, Nimble Pilferer",Marsh Flats,Seasoned Pyromancer,Galvanic Discharge,Arid Mesa,Arid Mesa,Seasoned Pyromancer,keep,20260416T141254Z_b1353a96-af08-4318-a8d2-4264f0571f27_london_20260416_090439.csv,1,1
